Geography,Timeframe,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units,Bulk GTIN
Nashville,Weekly,2/21/2021 0:00,Conventional,0.88,324285.08,126539.26,18999.23,256.34,62687.46,60868.61,1815.52,3.33,115802.79
New Orleans/Mobile,Weekly,2/21/2021 0:00,Conventional,0.71,405078.49,149480.98,27554.31,329.12,147738.79,114546.77,20028.69,13163.33,79975.29
New York,Weekly,2/21/2021 0:00,Conventional,1.04,2394348.85,65448.86,1372837.83,1983.3,851784.33,711345.75,127587.47,12851.11,102294.53
Northeast,Weekly,2/21/2021 0:00,Conventional,1.05,6875886.15,603646.68,3492175.9,9761.3,2165974.75,1911639.15,186024.48,68311.12,604327.52
Northern New England,Weekly,2/21/2021 0:00,Conventional,1.01,700954.87,14778.88,453754.81,117.39,114270.95,107795.72,55.23,6420,118032.84
Orlando,Weekly,2/21/2021 0:00,Conventional,0.83,730581.18,330364.61,18327.23,72.72,218128.25,133648.63,84466.29,13.33,163688.37
Philadelphia,Weekly,2/21/2021 0:00,Conventional,0.96,721288.85,148294.91,256134.12,254.7,247728.74,223724.79,16830.62,7173.33,68876.38
Phoenix/Tucson,Weekly,2/21/2021 0:00,Conventional,0.73,1426248.26,477732.01,185561.1,5223.09,186249.66,149624.6,36588.39,36.67,571482.4
Pittsburgh,Weekly,2/21/2021 0:00,Conventional,1.08,142782.99,32478.55,14082.17,11.08,52857.78,51386.66,317.78,1153.34,43353.41
Plains,Weekly,2/21/2021 0:00,Conventional,0.88,2453326.34,903368.08,515087.71,812.5,654507.73,492970.67,152117.07,9419.99,379550.32
Portland,Weekly,2/21/2021 0:00,Conventional,1.02,789289.21,103280.44,96766.84,5303.16,89510.03,42184.76,38346.94,8978.33,494428.74
Raleigh/Greensboro,Weekly,2/21/2021 0:00,Conventional,1,497451.83,217520.17,79856.19,4635.15,170741.43,136689.94,34048.16,3.33,24698.89
Richmond/Norfolk,Weekly,2/21/2021 0:00,Conventional,0.97,353371.74,107050.56,81128.53,997.25,82984.57,56064.78,16743.13,10176.66,81210.83
Roanoke,Weekly,2/21/2021 0:00,Conventional,0.91,218517.47,68421.53,29663.68,62.17,51528.79,41064.37,8090.53,2373.89,68841.3
Sacramento,Weekly,2/21/2021 0:00,Conventional,1.3,498811.26,140642.86,149438.86,2418.25,110753.94,89603.24,21084.03,66.67,95557.35
San Diego,Weekly,2/21/2021 0:00,Conventional,1.01,682487.28,95514.74,39200.32,12353.83,123545.02,110578.82,5695.83,7270.37,411873.37
San Francisco,Weekly,2/21/2021 0:00,Conventional,1.46,892734.85,181755.98,193240.34,5884.65,189125,183237.49,5870.84,16.67,322728.88
Seattle,Weekly,2/21/2021 0:00,Conventional,1.12,736618.75,92998.47,87039.19,145.09,80002.51,71337.08,10.43,8655,476433.49
South Carolina,Weekly,2/21/2021 0:00,Conventional,0.93,634707.45,288937.29,48495.76,1747.58,169802.97,132823.41,36936.23,43.33,125723.85
South Central,Weekly,2/21/2021 0:00,Conventional,0.67,6432406.34,2175397.59,712685.16,85346.15,1925442.97,982867,851570.97,91005,1533534.47
Southeast,Weekly,2/21/2021 0:00,Conventional,0.84,6940152.81,3219430.87,262680.76,2730.6,1655120.11,1251751.65,393663.46,9705,1800190.47
Spokane,Weekly,2/21/2021 0:00,Conventional,0.94,129872.71,21897.47,12986.08,10.06,19415.61,15450.61,0,3965,75563.49
St. Louis,Weekly,2/21/2021 0:00,Conventional,0.85,232676.28,102632.56,11602.74,38.05,66509.71,65811.48,688.23,10,51893.22
Syracuse,Weekly,2/21/2021 0:00,Conventional,0.99,116437.63,9270.1,51136.82,594.14,50004.49,44693.68,3107.48,2203.33,5432.08
Tampa,Weekly,2/21/2021 0:00,Conventional,0.8,770254.94,340998.55,22502.76,18.51,192133.82,118933.38,73197.11,3.33,214601.3
Total U.S.,Weekly,2/21/2021 0:00,Conventional,0.92,47879579.3,12575663.86,8517704.25,476449.32,11993916.16,9296797.32,2337039.65,360079.19,14315845.71
West,Weekly,2/21/2021 0:00,Conventional,0.87,8621736.48,1935377.89,993930.27,24481.48,1734228.49,1300678,355723.82,77826.67,3933718.35
West Tex/New Mexico,Weekly,2/21/2021 0:00,Conventional,0.61,1243624.8,358420.16,83925.84,7963.14,537037.5,252782.41,284235.09,20,256278.16
Albany,Weekly,2/21/2021 0:00,Organic,1.28,4091.54,39.7,458.34,0,3406.37,2143.24,1263.13,0,187.13
Atlanta,Weekly,2/21/2021 0:00,Organic,1.45,43911.52,96.78,2790.23,0,22498.22,9738.24,12759.98,0,18526.29
Baltimore/Washington,Weekly,2/21/2021 0:00,Organic,1.15,100657.11,538.64,3683.82,7.77,94317.03,90080.08,4236.95,0,2109.85
Boise,Weekly,2/21/2021 0:00,Organic,1.44,8485.48,18.14,747.96,0,3134.75,1974.45,1160.3,0,4584.63
Boston,Weekly,2/21/2021 0:00,Organic,1.56,56372.56,190.24,2564.14,0,53358.19,51755.26,1602.93,0,259.99
Buffalo/Rochester,Weekly,2/21/2021 0:00,Organic,1.42,20533.25,960.24,157.49,0,19415.52,19415.52,0,0,0
California,Weekly,2/21/2021 0:00,Organic,1.56,397676.78,18811.88,25432.6,12.53,183224.74,130508.94,52715.8,0,170195.03
Charlotte,Weekly,2/21/2021 0:00,Organic,1.37,20854.23,91.04,3842.96,55.71,14922.46,11795.58,3126.88,0,1942.06
Chicago,Weekly,2/21/2021 0:00,Organic,1.28,97619.31,611.46,11289.98,0,56575.2,14475.95,42099.25,0,29142.67
Cincinnati/Dayton,Weekly,2/21/2021 0:00,Organic,1.39,22569.74,507.49,2421.25,0,7553.66,2194.72,5358.94,0,12087.34
Columbus,Weekly,2/21/2021 0:00,Organic,1.3,15442.19,923.33,1131.41,0,7833.99,2804.22,5029.77,0,5553.46
Dallas/Ft. Worth,Weekly,2/21/2021 0:00,Organic,1.19,73371.08,3305.39,2215.36,6636.42,31224.89,15170.63,16054.26,0,29989.02
Denver,Weekly,2/21/2021 0:00,Organic,1.05,63449.53,5403.18,1062.67,0,28817.56,11082.22,17735.34,0,28166.12
Detroit,Weekly,2/21/2021 0:00,Organic,1.12,32522.47,306.18,2349.67,0,20334.65,10830.56,9504.09,0,9531.97
Grand Rapids,Weekly,2/21/2021 0:00,Organic,0.91,11488.22,34.17,758.52,0,10695.53,10690.74,4.79,0,0
Great Lakes,Weekly,2/21/2021 0:00,Organic,1.22,310258.47,7379.92,28617.77,0,191891.81,103263.16,88532.4,96.25,82368.97
Harrisburg/Scranton,Weekly,2/21/2021 0:00,Organic,1.14,21754.18,313.79,584.6,0,20855.79,20756.82,98.97,0,0
Hartford/Springfield,Weekly,2/21/2021 0:00,Organic,1.61,29602.49,460.17,10195.84,1.41,18934.08,18934.08,0,0,10.99
Houston,Weekly,2/21/2021 0:00,Organic,1.26,35120.51,4025.96,145.33,0,15469.49,1034.45,14435.04,0,15479.73
Indianapolis,Weekly,2/21/2021 0:00,Organic,1.18,13448.93,184.15,919.49,0,8691.21,4125.61,4565.6,0,3654.08
Jacksonville,Weekly,2/21/2021 0:00,Organic,0.96,8114.16,47.04,225.88,0,7680.08,3765.91,0,3914.17,161.16
Las Vegas,Weekly,2/21/2021 0:00,Organic,1.38,19610.38,925.64,339.75,0,9056.15,4823.33,4232.82,0,9288.84
Los Angeles,Weekly,2/21/2021 0:00,Organic,1.4,184356.31,6042.01,4351.72,3.17,75142.23,28296.67,46845.56,0,98817.18
Louisville,Weekly,2/21/2021 0:00,Organic,1.41,9404.27,22.49,594.47,0,5264.51,377.78,3994.23,892.5,3522.8
Miami/Ft. Lauderdale,Weekly,2/21/2021 0:00,Organic,0.91,23573.84,163.88,0,0,23396.69,21792.52,0,1604.17,13.27
Midsouth,Weekly,2/21/2021 0:00,Organic,1.22,357906.86,2294.71,26553.89,158.32,285544.88,204602.97,66257.15,14684.76,43355.06
Nashville,Weekly,2/21/2021 0:00,Organic,1.31,21643.12,34.1,1369.24,0,13604.56,2084.91,7561.73,3957.92,6635.22
New Orleans/Mobile,Weekly,2/21/2021 0:00,Organic,1.14,9432.33,71.48,76.1,0,7208.05,2895.7,4312.35,0,2076.7
New York,Weekly,2/21/2021 0:00,Organic,1.47,143895.28,10848.58,9083.67,830.31,118363.47,118363.47,0,0,4769.25
Northeast,Weekly,2/21/2021 0:00,Organic,1.45,393934.49,18645.35,30228.96,721.93,329763.91,314215.65,15548.26,0,14574.34
Northern New England,Weekly,2/21/2021 0:00,Organic,1.47,29653.48,56.01,719.23,0,25279.11,13429.49,11849.62,0,3599.13
Orlando,Weekly,2/21/2021 0:00,Organic,0.96,15809.88,83.98,0,0,15723.14,10018.14,0,5705,2.76
Philadelphia,Weekly,2/21/2021 0:00,Organic,1.41,34775.12,1528.07,2684.73,0,26426.59,25345.15,1081.44,0,4135.73
Phoenix/Tucson,Weekly,2/21/2021 0:00,Organic,1.27,32393.27,4114.97,2796.46,0,16901.5,11135.55,5765.95,0,8580.34
Pittsburgh,Weekly,2/21/2021 0:00,Organic,1.32,16918.17,2888.8,1.69,0,13321.87,13265.41,56.46,0,705.81
Plains,Weekly,2/21/2021 0:00,Organic,1.08,95229.52,17660.22,2501.08,4.26,61802.11,56630.83,5171.28,0,13261.85
Portland,Weekly,2/21/2021 0:00,Organic,1.5,56963.61,724.43,7338.33,1.65,14973.45,2410.12,12563.33,0,33925.75
Raleigh/Greensboro,Weekly,2/21/2021 0:00,Organic,1.33,29540.42,661.12,3977.64,44.31,23007.19,18186.93,4820.26,0,1850.16
Richmond/Norfolk,Weekly,2/21/2021 0:00,Organic,0.99,37981.72,1.27,1765.78,1.27,33376.78,26519.02,6857.76,0,2836.62
Roanoke,Weekly,2/21/2021 0:00,Organic,1.13,20420.07,13.43,1602.78,0,15050.15,8700.87,5526.78,822.5,3753.71
Sacramento,Weekly,2/21/2021 0:00,Organic,1.73,23439.14,3156.15,3147.47,2.69,13402.9,13402.9,0,0,3729.93
San Diego,Weekly,2/21/2021 0:00,Organic,1.32,38441.42,822.01,1972.96,0,12486.14,7473.34,5012.8,0,23160.31
San Francisco,Weekly,2/21/2021 0:00,Organic,1.93,76946.89,3159.37,6686.13,1.52,45075.38,45075.38,0,0,22024.49
Seattle,Weekly,2/21/2021 0:00,Organic,1.67,80105.45,1530.77,11179.58,5.37,12962.38,2301.11,10661.27,0,54427.35
South Carolina,Weekly,2/21/2021 0:00,Organic,1.34,31423.12,573.14,3043.62,47.48,22593.43,15378.09,5783.26,1432.08,5165.45
South Central,Weekly,2/21/2021 0:00,Organic,1.16,329919.3,13101.83,11989.96,69082.56,116108.06,55024.43,61083.63,0,119636.89
Southeast,Weekly,2/21/2021 0:00,Organic,1.17,203227.63,1304.87,7816.85,42.79,162307.71,111909.63,29001.41,21396.67,31755.41
Spokane,Weekly,2/21/2021 0:00,Organic,1.36,9773.15,253.63,1144.4,0,2968.77,1038.89,1929.88,0,5406.35
St. Louis,Weekly,2/21/2021 0:00,Organic,1.24,16502.09,9093.26,1344.22,0,3817.22,3817.22,0,0,2247.39
Syracuse,Weekly,2/21/2021 0:00,Organic,1.4,5558.94,255.47,108.91,0,5079.52,4617.88,461.64,0,115.04
Tampa,Weekly,2/21/2021 0:00,Organic,0.91,16114.31,64.31,0,0,16044.8,16044.8,0,0,5.2
Total U.S.,Weekly,2/21/2021 0:00,Organic,1.31,2544897.11,103037.19,169110.78,82487.44,1493046.96,1054294.68,402574.6,36177.68,697214.74
West,Weekly,2/21/2021 0:00,Organic,1.36,456744.07,23838.4,35969.68,12465.05,162403.78,78139.1,84264.68,0,222067.16
West Tex/New Mexico,Weekly,2/21/2021 0:00,Organic,0.99,87267.58,1580.04,5788.17,37692.55,16896.9,15029.99,1866.91,0,25309.92
